Node	Time	Old_population	New_population
1550	0.5640336237812044	79	195
171	0.5639671404540709	86	173
1634	0.5638955927007864	24	6
58	0.5637123908933471	0	54
1141	0.5635245504924393	30	73
61	0.5635192077124517	171	71
103	0.5634360171231563	79	64
1645	0.5634115925630282	133	56
1454	0.5633965145501277	79	195
1419	0.5632745305961058	0	56
1693	0.5628908380278577	24	171
1475	0.562740061835039	0	64
1653	0.5627211736410546	183	86
101	0.5624602118541222	199	133
1366	0.5622920136160516	86	124
1112	0.5619445863586959	104	184
623	0.5617930006874975	194	0
1675	0.5617112399481399	56	138
16	0.5616356218452175	93	138
1108	0.5614589445619438	194	57
738	0.5612726414732927	39	147
1417	0.5609409820568766	23	24
1703	0.5607571690915943	138	0
1714	0.5606225015581089	138	137
237	0.5605428599338154	195	6
1369	0.5600988691791645	101	83
1598	0.5598999495849581	24	147
1455	0.5598985542911336	183	202
444	0.559587265624432	90	197
1357	0.5592266720928948	151	0
159	0.5592132478993128	6	156
1656	0.5590915458530816	30	93
1668	0.5589934220475757	151	88
1704	0.5589154775925165	134	183
761	0.5588670386859161	62	195
1575	0.5588036783723047	195	85
1533	0.5585464608396757	86	83
1686	0.5581688802270344	176	79
772	0.5575753260064281	138	86
178	0.5574847310512685	46	64
1449	0.5572646300497308	149	0
1178	0.5571220029783596	91	93
589	0.5570696905596009	205	192
279	0.5570025655030671	62	120
1616	0.5569424939251214	199	195
120	0.5567841616685901	133	195
193	0.556147477034957	101	93
57	0.5561070315150243	197	160
1373	0.5560330619861836	30	6
1646	0.5552397241697304	86	0
1228	0.5548768476535842	30	195
1687	0.5548074020863911	62	86
1761	0.5542698735042758	195	62
1536	0.5541634338055355	101	133
1001	0.5537463222259758	30	195
1662	0.5536714209557214	139	195
430	0.553637466957295	149	9
1627	0.5535364435158369	93	86
1758	0.5529353659890291	150	86
785	0.55284041643372	195	199
1252	0.552355379642194	86	142
821	0.5521406294840822	195	133
147	0.5519380726815389	195	74
1322	0.5518107158378883	83	93
1143	0.5518063836849455	139	41
1636	0.551321311128628	151	0
1164	0.551119219044313	199	195
64	0.5507627007893979	151	0
117	0.5502042259069543	147	24
1745	0.5500287006934447	195	91
418	0.5498666436236086	0	86
1733	0.5491286219122071	24	62
1521	0.5489777509189383	56	64
310	0.5487646638067332	57	67
122	0.5487585667842995	56	86
490	0.5478476724032318	150	0
297	0.5476947330963743	62	86
1725	0.5475082203770083	124	134
71	0.5470591241104354	101	0
1603	0.5462698375963168	176	74
777	0.5462534468153857	96	202
1411	0.5459850490154505	6	24
1700	0.545944047256897	30	93
1680	0.5452532038592407	86	0
236	0.5447799192571188	137	16
594	0.5446291528823808	0	86
1732	0.5445648017064266	93	134
253	0.5443584625610435	133	195
133	0.5443535517053829	41	195
882	0.5442565077502929	76	115
1279	0.5439868351999803	133	39
669	0.5438323712429323	105	86
571	0.5435141291894178	195	24
1688	0.5435099670066684	93	100
417	0.5430189748920917	195	90
1067	0.542826765607777	70	138
354	0.5428171898466084	133	183
1813	0.5425012842797546	151	0
1540	0.542196190181885	149	9
1775	0.5421718144424701	139	86
1644	0.5412963606652232	41	81
1816	0.5409396099292381	30	41
452	0.540822718124273	24	195
1770	0.5403458917495941	41	133
1609	0.5402563914037203	57	62
552	0.5398334408688137	30	39
1754	0.5393432079168782	96	86
1402	0.5390977942514439	183	83
1838	0.5390419603258045	147	6
1810	0.5388735249127977	54	86
1698	0.5385297094389768	86	28
1622	0.5381783798198149	90	169
